Commodity,Exporter,Destination,Tons,Year
RUBBER,46,68,49.33020638,2013
RUBBER,46,73,0.052490717,2013
RUBBER,46,79,1369.514378,2013
RUBBER,46,80,0.054102064,2013
RUBBER,46,84,0.86328324,2013
RUBBER,46,89,0.195129758,2013
RUBBER,46,95,0.545233729,2013
RUBBER,46,96,0.079939597,2013
RUBBER,46,97,15.59902684,2013
RUBBER,46,98,0.250292948,2013
RUBBER,46,99,0.025349035,2013
RUBBER,46,100,84.45925606,2013
RUBBER,46,101,1.39836684,2013
RUBBER,46,102,43.86032164,2013
RUBBER,46,103,0.44179687,2013
RUBBER,46,104,0.866611009,2013
RUBBER,46,105,2.324218973,2013
RUBBER,46,106,107.178775,2013
RUBBER,46,108,0.027470735,2013
RUBBER,46,110,7.119914252,2013
RUBBER,46,112,0.388655088,2013
RUBBER,46,114,1.029676252,2013
RUBBER,46,116,0.30991266,2013
RUBBER,46,117,24.44066557,2013
RUBBER,46,118,1.504812658,2013
RUBBER,46,119,0.676431492,2013
RUBBER,46,122,0.043506431,2013
RUBBER,46,126,1.22794556,2013
RUBBER,46,131,809.5565101,2013
RUBBER,46,134,13.55352971,2013
RUBBER,46,136,0.017313089,2013
RUBBER,46,137,0.010059468,2013
RUBBER,46,138,9.672142478,2013
RUBBER,46,143,0.81587952,2013
RUBBER,46,144,0.014365331,2013
RUBBER,46,146,0.013930497,2013
RUBBER,46,147,0.072647531,2013
RUBBER,46,149,0.020687172,2013
RUBBER,46,150,4.181866928,2013
RUBBER,46,154,0.624846406,2013
RUBBER,46,156,0.263432423,2013
RUBBER,46,159,0.06676529,2013
RUBBER,46,162,0.742891609,2013
