EXPORTER,YEAR,dfrs_risk,sum_soy_vol,dfrs_risk_per_ton,dfrs_risk_per_000ton
NOBLE,2009,113.16403801872247,319036.96665530314,3.5470509641908737e-4,0.3547050964190874
NOBLE,2010,148.8649079950214,347763.7967392061,4.2806326992874907e-4,0.42806326992874905
NOBLE,2011,130.31704791829972,429250.4573656986,3.0359210032774995e-4,0.30359210032774997
NOBLE,2012,1796.7575891512286,801753.860885167,0.0022410339092942305,2.2410339092942304
NOBLE,2013,971.4799395847982,344543.6940416665,0.002819613176456263,2.8196131764562633
NOBLE,2014,358.62434163059595,549008.3034833156,6.53222072153039e-4,0.6532220721530391
PMG TRADING,2006,346.5399841309607,289262.97433462547,0.001198010166797483,1.198010166797483
PMG TRADING,2007,5.910742731874581,30433.00699999476,1.9422144948987786e-4,0.19422144948987785
SEARA,2006,1.9246066533153579,7314.3859999999995,2.631262081759642e-4,0.26312620817596416
SEARA,2007,0,34491.496,0,0
SEARA,2008,29.8652960389629,14500,0.002059675588893993,2.059675588893993
SEARA,2009,0,61403.812,0,0
SEARA,2010,3.813411546126363,57397.8180108119,6.643826678930616e-5,0.06643826678930616
SEARA,2011,0,46316.103,0,0
SEARA,2012,148.29237569896503,113492.321,0.0013066291568657323,1.3066291568657324
SEARA,2013,14.509114657199005,102715.43462030958,1.41255447254177e-4,0.141255447254177
SEARA,2014,0.006591633974360099,91311.55541587541,7.218838781508785e-8,7.218838781508786e-5
SEARA,2015,36.01459005319408,332263.3265812595,1.0839170974346524e-4,0.10839170974346524
SEARA,2016,0.47649942268595963,215001.81902584,2.2162576337490967e-6,0.0022162576337490967
SELECTA,2006,294.65687034057294,665293.708399702,4.428974250325331e-4,0.4428974250325331
SELECTA,2007,20.569982843587766,637250.7139222468,3.2279262139983386e-5,0.03227926213998339
SELECTA,2008,16.378315534852746,195888.9524662198,8.361020531608139e-5,0.08361020531608139
SELECTA,2009,15.932259434305502,147606.07494349388,1.0793769457256174e-4,0.10793769457256175
SELECTA,2010,0,57978.46208407484,0,0
SELECTA,2011,4.2659021345989085,143271.12489946975,2.977503064621151e-5,0.02977503064621151
SELECTA,2012,84.7238645639958,125271.7606241692,6.763205381792142e-4,0.6763205381792142
SELECTA,2013,31.632967384097913,163266.47910343556,1.937505332252386e-4,0.19375053322523858
SELECTA,2014,82.32545161683315,193222.85440045633,4.26064773094661e-4,0.426064773094661
SELECTA,2015,163.93773398162946,231275.79244036472,7.088408702519153e-4,0.7088408702519153
SELECTA,2016,44.95797246439883,192306.5826868651,2.337828057482795e-4,0.2337828057482795
